Course,Attribute(s),Comment
ACCY 2001 Introduction to Financial Accounting,ESTM,
ACCY 2002 Introductory Managerial Accounting,ESTM,
ACCY 3106 Financial Statement Analysis,ESTM,
AMST 2710 The United States in the World,ESHA,
ANAT 2130 Human Embryology,ESTM,
ANAT 2160 Human Functional Neuroanatomy,ESTM,
ANTH 2501 The Anthropology of Gender: Cross-Cultural Perspectives,"ESAG, EFCC, EFCJ, EFCD",
ANTH 2502 Anthropology of Science and Technology: Twenty-First Century Brave New Worlds,"ESAG, EFCC",
"ANTH 2506 Religion, Myth, and Magic (Same as REL 2506: Religion, Myth, and Magic)","EFCC, ESAG",
ANTH 3501 Anthropology of Development,"EFCC, EFCD, EFCE, EFCF, ESAG",
ANTH 3503 Psychological Anthropology,"ESAG, EFCC, EFCD",
"ANTH 3504 Illness, Healing, and Culture","ESAG, EFCC, EFCD",
"ANTH 3506 Politics, Ethnicity, and Nationalism","ESAG, EFCC, EFCA, EFCB, EFCH",
"ANTH 3507 Kinship, Family, and Community","ESAG, EFCC",
ANTH 3513 Anthropology of Human Rights,"ESAG, EFCC, EFCA, EFCB, EFCD, EFCE",
ANTH 3531 Methods in Sociocultural Anthropology,ESRM,
"ANTH 3601 Language, Culture, and Cognition","ESAG, EFCC",
ANTH 3691 Special Topics in Linguistic Anthropology (Anthropology of Sound),ESAG,
ANTH 3691 Special Topics in Linguistic Anthropology (Narrative Analysis),ESAG,
ANTH 3702 Anthropology of Latin America,"ESAG, ERFB, EFCC, EFCE, ELAA",
ANTH 3704 Cultures of Southeast Asia,ESAG,
ANTH 3707 Anthropology of the Middle East,"ESAG, ERFE, EFCC, EFCE, EMEA",
ANTH 3708 Africa and Contemporary Diaspora,"ESAG, ERFA",
ANTH 3708 Africa and the Contemporary Diaspora,"ERFA, EFCC, EFCE, EAFA",
ANTH 3709 Japanese Culture Through Film,"ESAG, EASA, EASB, EFCC",
ANTH 3791 Topics in Regional Anthropology (Anthropology of the Caribbean),"ERFB, EFCC, ELAA",
ANTH 3801 African Roots from Australopithecus to Zimbabwe,"EFCC, EAFA",
